date,open,high,low,close,adj close,volume,symbol
20190104,99.110001,100.93,98.279999,100.690002,88.470131,16935200,3
20190107,140.550003,144.080002,139.009995,143.100006,143.100006,17239000,2
20190107,37.174999,37.2075,36.474998,36.982498,35.640198,219111200,1
20190107,21.448,22.449333,21.183332,22.330667,22.330667,113268000,4
20190107,100.43,101.470001,99.709999,100.760002,88.531624,15430700,3
20190108,145,147.550003,142.059998,146.789993,146.789993,16487600,2
20190108,37.389999,37.955002,37.130001,37.6875,36.319607,164101200,1
20190108,22.797333,22.934,21.801332,22.356667,22.356667,105127500,4
20190108,101.629997,101.82,99.550003,100.57,88.3647,13578800,3
20190109,149.889999,153.350006,148.5,151.919998,151.919998,20214100,2
20190109,37.822498,38.6325,37.407501,38.327499,36.936378,180396400,1
20190109,22.366667,22.9,22.098,22.568666,22.568666,81493500,4
20190109,100.809998,101.489998,99.93,100.400002,88.215324,14230300,3
20190110,149.809998,152.029999,148.880005,151.690002,151.690002,14221100,2
20190110,38.125,38.4925,37.715,38.450001,37.05444,143122800,1
20190110,22.293333,23.025999,22.119333,22.997999,22.997999,90846000,4
20190110,100.019997,100.730003,99.269997,100.389999,88.206558,14376100,3
20190111,151.830002,153.380005,150.139999,151.320007,151.320007,9589400,2
20190111,38.220001,38.424999,37.877499,38.072498,36.690628,108092800,1
20190111,22.806,23.227333,22.584667,23.150667,23.150667,75586500,4
20190111,99.889999,100.169998,98.949997,99.910004,87.784798,15439900,3
20190114,148.5,150.570007,146.539993,149.270004,149.270004,13356700,2
20190114,37.712502,37.817501,37.305,37.5,36.138905,129756800,1
20190114,22.825333,22.833332,22.266666,22.293333,22.293333,78709500,4
20190114,98.870003,101.360001,98.660004,100.940002,88.689774,21258500,3
20190115,150.679993,154.169998,149.964005,150.880005,150.880005,15003100,2
20190115,37.567501,38.3475,37.512501,38.267502,36.878551,114843600,1
20190115,22.333332,23.253332,22.299999,22.962,22.962,90849000,4
20190115,98.889999,102.470001,98.599998,101.68,89.339981,26504900,3
20190116,152.809998,155.389999,151.5,154.839996,154.839996,14810800,2
20190116,38.27,38.970001,38.25,38.735001,37.329082,122278800,1
20190116,22.985332,23.466667,22.9,23.07,23.07,70375500,4
20190116,102.25,103.449997,101.800003,102.5,90.060463,18533000,3
20190117,152.110001,158.550003,151.899994,155.970001,155.970001,16153200,2
